,Rank,NOC,Gold,Silver,Bronze,Total,Year,Past_Gold,Past_Silver,Past_Bronze,Past_Total
67,7,RSA,4,2,0,6,1912,1.0,1.0,0.0,2.0
68,8,NOR,3,2,5,10,1912,2.0,3.0,3.0,8.0
69,9,CAN,3,2,3,8,1912,3.0,3.0,10.0,16.0
70,9,HUN,3,2,3,8,1912,3.0,4.0,2.0,9.0
71,11,ITA,3,1,2,6,1912,2.0,2.0,0.0,4.0
72,12,ANZ,2,2,3,7,1912,1.0,2.0,2.0,5.0
73,13,BEL,2,1,3,6,1912,1.0,5.0,2.0,8.0
74,14,DEN,1,6,5,12,1912,0.0,2.0,3.0,5.0
75,15,GRE,1,0,1,2,1912,0.0,3.0,1.0,4.0
76,16,RUS,0,2,3,5,1912,1.0,2.0,0.0,3.0
77,17,AUT,0,2,2,4,1912,0.0,0.0,1.0,1.0
78,18,NED,0,0,3,3,1912,0.0,0.0,2.0,2.0
79,1,USA,41,27,27,95,1920,26.0,19.0,19.0,64.0
80,2,SWE,19,20,25,64,1920,23.0,25.0,17.0,65.0
81,3,FIN,15,10,9,34,1920,9.0,8.0,9.0,26.0
82,4,GBR,14,15,13,42,1920,10.0,15.0,16.0,41.0
83,5,BEL,14,11,11,36,1920,2.0,1.0,3.0,6.0
84,6,NOR,13,9,9,31,1920,3.0,2.0,5.0,10.0
85,7,ITA,13,5,5,23,1920,3.0,1.0,2.0,6.0
86,8,FRA,9,19,13,41,1920,7.0,4.0,3.0,14.0
87,9,NED,4,2,5,11,1920,0.0,0.0,3.0,3.0
88,10,DEN,3,9,1,13,1920,1.0,6.0,5.0,12.0
89,11,RSA,3,4,3,10,1920,4.0,2.0,0.0,6.0
90,12,CAN,3,3,3,9,1920,3.0,2.0,3.0,8.0
91,13,SUI,2,2,7,11,1920,1.0,0.0,2.0,3.0
92,14,EST,1,2,0,3,1920,,,,
93,15,BRA,1,1,1,3,1920,,,,
94,16,AUS,0,2,1,3,1920,0.0,3.0,1.0,4.0
95,17,ESP,0,2,0,2,1920,1.0,0.0,0.0,1.0
96,17,JPN,0,2,0,2,1920,,,,
97,19,GRE,0,1,0,1,1920,1.0,0.0,1.0,2.0
98,19,LUX,0,1,0,1,1920,1.0,0.0,0.0,1.0
99,21,TCH,0,0,2,2,1920,,,,
100,22,NZL,0,0,1,1,1920,,,,
101,1,USA,45,27,27,99,1924,41.0,27.0,27.0,95.0
102,2,FIN,14,13,10,37,1924,15.0,10.0,9.0,34.0
103,3,FRA,13,15,10,38,1924,9.0,19.0,13.0,41.0
104,4,GBR,9,13,12,34,1924,14.0,15.0,13.0,42.0
105,5,ITA,8,3,5,16,1924,13.0,5.0,5.0,23.0
106,6,SUI,7,8,10,25,1924,2.0,2.0,7.0,11.0
107,7,NOR,5,2,3,10,1924,13.0,9.0,9.0,31.0
108,8,SWE,4,13,12,29,1924,19.0,20.0,25.0,64.0
109,9,NED,4,1,5,10,1924,4.0,2.0,5.0,11.0
110,10,BEL,3,7,3,13,1924,14.0,11.0,11.0,36.0
111,11,AUS,3,1,2,6,1924,0.0,2.0,1.0,3.0
112,12,DEN,2,5,2,9,1924,3.0,9.0,1.0,13.0
113,13,HUN,2,3,4,9,1924,3.0,2.0,3.0,8.0
114,14,YUG,2,0,0,2,1924,,,,
115,15,TCH,1,4,5,10,1924,0.0,0.0,2.0,2.0
116,16,ARG,1,3,2,6,1924,,,,
117,17,EST,1,1,4,6,1924,1.0,2.0,0.0,3.0
118,18,RSA,1,1,1,3,1924,3.0,4.0,3.0,10.0
119,19,URU,1,0,0,1,1924,,,,
120,20,AUT,0,3,1,4,1924,0.0,2.0,2.0,4.0
121,20,CAN,0,3,1,4,1924,3.0,3.0,3.0,9.0
122,22,POL,0,1,1,2,1924,,,,
123,23,HAI,0,0,1,1,1924,,,,
124,23,JPN,0,0,1,1,1924,0.0,2.0,0.0,2.0
125,23,NZL,0,0,1,1,1924,0.0,0.0,1.0,1.0
126,23,POR,0,0,1,1,1924,,,,
127,23,ROU,0,0,1,1,1924,,,,
128,1,USA,22,18,16,56,1928,45.0,27.0,27.0,99.0
129,2,GER,10,7,14,31,1928,5.0,13.0,7.0,25.0
130,3,FIN,8,8,9,25,1928,14.0,13.0,10.0,37.0
131,4,SWE,7,6,12,25,1928,4.0,13.0,12.0,29.0
132,5,ITA,7,5,7,19,1928,8.0,3.0,5.0,16.0
133,6,SUI,7,4,4,15,1928,7.0,8.0,10.0,25.0
134,7,FRA,6,10,5,21,1928,13.0,15.0,10.0,38.0
135,8,NED,6,9,4,19,1928,4.0,1.0,5.0,10.0
136,9,HUN,4,5,0,9,1928,2.0,3.0,4.0,9.0
137,10,CAN,4,4,7,15,1928,0.0,3.0,1.0,4.0
138,11,GBR,3,10,7,20,1928,9.0,13.0,12.0,34.0
139,12,ARG,3,3,1,7,1928,1.0,3.0,2.0,6.0
140,13,DEN,3,1,2,6,1928,2.0,5.0,2.0,9.0
141,14,TCH,2,5,2,9,1928,1.0,4.0,5.0,10.0
142,15,JPN,2,2,1,5,1928,0.0,0.0,1.0,1.0
143,16,EST,2,1,2,5,1928,1.0,1.0,4.0,6.0
144,17,EGY,2,1,1,4,1928,,,,
145,18,AUT,2,0,1,3,1928,0.0,3.0,1.0,4.0
146,19,AUS,1,2,1,4,1928,3.0,1.0,2.0,6.0
147,19,NOR,1,2,1,4,1928,5.0,2.0,3.0,10.0
148,21,POL,1,1,3,5,1928,0.0,1.0,1.0,2.0
149,21,YUG,1,1,3,5,1928,2.0,0.0,0.0,2.0
150,23,RSA,1,0,2,3,1928,1.0,1.0,1.0,3.0
151,24,ESP,1,0,0,1,1928,0.0,2.0,0.0,2.0
152,24,IND,1,0,0,1,1928,0.0,2.0,0.0,2.0
153,24,IRL,1,0,0,1,1928,,,,
154,24,NZL,1,0,0,1,1928,0.0,0.0,1.0,1.0
155,24,URU,1,0,0,1,1928,1.0,0.0,0.0,1.0
156,29,BEL,0,1,2,3,1928,3.0,7.0,3.0,13.0
157,30,CHI,0,1,0,1,1928,,,,
158,30,HAI,0,1,0,1,1928,0.0,0.0,1.0,1.0
159,32,PHI,0,0,1,1,1928,,,,
160,32,POR,0,0,1,1,1928,0.0,0.0,1.0,1.0
161,1,USA,44,36,30,110,1932,22.0,18.0,16.0,56.0
162,2,ITA,12,12,12,36,1932,7.0,5.0,7.0,19.0
163,3,FRA,11,5,4,20,1932,6.0,10.0,5.0,21.0
164,4,SWE,10,5,9,24,1932,7.0,6.0,12.0,25.0
165,5,JPN,7,7,4,18,1932,2.0,2.0,1.0,5.0
166,6,HUN,6,5,5,16,1932,4.0,5.0,0.0,9.0
167,7,GER,5,12,7,24,1932,10.0,7.0,14.0,31.0
168,8,FIN,5,8,12,25,1932,8.0,8.0,9.0,25.0
169,9,GBR,5,7,5,17,1932,3.0,10.0,7.0,20.0
170,10,POL,3,2,4,9,1932,1.0,1.0,3.0,5.0
171,11,AUS,3,1,1,5,1932,1.0,2.0,1.0,4.0
172,12,ARG,3,1,0,4,1932,3.0,3.0,1.0,7.0
173,13,CAN,2,5,9,16,1932,4.0,4.0,7.0,15.0
174,14,NED,2,5,1,8,1932,6.0,9.0,4.0,19.0
175,15,RSA,2,0,3,5,1932,1.0,0.0,2.0,3.0
176,16,IRL,2,0,0,2,1932,1.0,0.0,0.0,1.0
177,17,TCH,1,3,2,6,1932,2.0,5.0,2.0,9.0
178,18,AUT,1,1,3,5,1932,2.0,0.0,1.0,3.0
179,19,IND,1,0,0,1,1932,1.0,0.0,0.0,1.0
180,20,DEN,0,5,3,8,1932,3.0,1.0,2.0,6.0
181,21,MEX,0,2,0,2,1932,,,,
182,22,LAT,0,1,0,1,1932,,,,
183,22,NZL,0,1,0,1,1932,1.0,0.0,0.0,1.0
184,22,SUI,0,1,0,1,1932,7.0,4.0,4.0,15.0
185,25,PHI,0,0,3,3,1932,0.0,0.0,1.0,1.0
186,26,BEL,0,0,1,1,1932,0.0,1.0,2.0,3.0
187,26,ESP,0,0,1,1,1932,1.0,0.0,0.0,1.0
188,26,URU,0,0,1,1,1932,1.0,0.0,0.0,1.0
189,1,GER,38,31,32,101,1936,5.0,12.0,7.0,24.0
190,2,USA,24,21,12,57,1936,44.0,36.0,30.0,110.0
191,3,HUN,10,1,5,16,1936,6.0,5.0,5.0,16.0
192,4,ITA,9,13,5,27,1936,12.0,12.0,12.0,36.0
193,5,FIN,8,6,6,20,1936,5.0,8.0,12.0,25.0
194,6,FRA,7,6,6,19,1936,11.0,5.0,4.0,20.0
195,7,SWE,6,5,10,21,1936,10.0,5.0,9.0,24.0
196,8,JPN,6,4,10,20,1936,7.0,7.0,4.0,18.0
197,9,NED,6,4,7,17,1936,2.0,5.0,1.0,8.0
198,10,AUT,5,7,5,17,1936,1.0,1.0,3.0,5.0
199,11,SUI,4,9,5,18,1936,0.0,1.0,0.0,1.0
200,12,GBR,4,7,3,14,1936,5.0,7.0,5.0,17.0
201,13,TCH,3,5,1,9,1936,1.0,3.0,2.0,6.0
202,14,ARG,2,2,3,7,1936,3.0,1.0,0.0,4.0
203,14,EST,2,2,3,7,1936,2.0,1.0,2.0,5.0
204,16,EGY,2,1,2,5,1936,2.0,1.0,1.0,4.0
205,17,CAN,1,3,5,9,1936,2.0,5.0,9.0,16.0
206,18,NOR,1,3,2,6,1936,1.0,2.0,1.0,4.0
207,19,TUR,1,0,1,2,1936,,,,
208,20,IND,1,0,0,1,1936,1.0,0.0,0.0,1.0
209,20,NZL,1,0,0,1,1936,0.0,1.0,0.0,1.0
210,22,POL,0,4,5,9,1936,3.0,2.0,4.0,9.0
211,23,DEN,0,2,3,5,1936,0.0,5.0,3.0,8.0
212,24,LAT,0,1,1,2,1936,0.0,1.0,0.0,1.0
213,25,ROU,0,1,0,1,1936,0.0,0.0,1.0,1.0
214,25,RSA,0,1,0,1,1936,2.0,0.0,3.0,5.0
215,25,YUG,0,1,0,1,1936,1.0,1.0,3.0,5.0
216,28,BEL,0,0,3,3,1936,0.0,0.0,1.0,1.0
217,28,MEX,0,0,3,3,1936,0.0,2.0,0.0,2.0
218,30,AUS,0,0,1,1,1936,3.0,1.0,1.0,5.0
219,30,PHI,0,0,1,1,1936,0.0,0.0,3.0,3.0
220,30,POR,0,0,1,1,1936,0.0,0.0,1.0,1.0
221,1,USA,38,27,19,84,1948,24.0,21.0,12.0,57.0
222,2,SWE,16,11,17,44,1948,6.0,5.0,10.0,21.0
223,3,FRA,10,6,13,29,1948,7.0,6.0,6.0,19.0
224,4,HUN,10,5,12,27,1948,10.0,1.0,5.0,16.0
225,5,ITA,8,11,8,27,1948,9.0,13.0,5.0,27.0
226,6,FIN,8,7,5,20,1948,8.0,6.0,6.0,20.0
227,7,TUR,6,4,2,12,1948,1.0,0.0,1.0,2.0
228,8,TCH,6,2,3,11,1948,3.0,5.0,1.0,9.0
229,9,SUI,5,10,5,20,1948,4.0,9.0,5.0,18.0
230,10,DEN,5,7,8,20,1948,0.0,2.0,3.0,5.0
231,11,NED,5,2,9,16,1948,6.0,4.0,7.0,17.0
232,12,GBR,3,14,6,23,1948,4.0,7.0,3.0,14.0
233,13,ARG,3,3,1,7,1948,2.0,2.0,3.0,7.0
234,14,AUS,2,6,5,13,1948,0.0,0.0,1.0,1.0
235,15,BEL,2,2,3,7,1948,0.0,0.0,3.0,3.0
236,16,EGY,2,2,1,5,1948,2.0,1.0,2.0,5.0
237,17,MEX,2,1,2,5,1948,0.0,0.0,3.0,3.0
238,18,RSA,2,1,1,4,1948,0.0,1.0,0.0,1.0
239,19,NOR,1,3,3,7,1948,1.0,3.0,2.0,6.0
240,20,JAM,1,2,0,3,1948,,,,
241,21,AUT,1,0,3,4,1948,5.0,7.0,5.0,17.0
242,22,IND,1,0,0,1,1948,1.0,0.0,0.0,1.0
243,22,PER,1,0,0,1,1948,,,,
244,24,YUG,0,2,0,2,1948,0.0,1.0,0.0,1.0
245,25,CAN,0,1,2,3,1948,1.0,3.0,5.0,9.0
246,26,POR,0,1,1,2,1948,0.0,0.0,1.0,1.0
247,26,URU,0,1,1,2,1948,0.0,0.0,1.0,1.0
248,28,SRI,0,1,0,1,1948,,,,
249,28,CUB,0,1,0,1,1948,3.0,0.0,0.0,3.0
250,28,ESP,0,1,0,1,1948,0.0,0.0,1.0,1.0
251,28,TTO,0,1,0,1,1948,,,,
252,32,KOR,0,0,2,2,1948,,,,
253,32,PAN,0,0,2,2,1948,,,,
254,34,BRA,0,0,1,1,1948,1.0,1.0,1.0,3.0
255,34,IRI,0,0,1,1,1948,,,,
256,34,POL,0,0,1,1,1948,0.0,4.0,5.0,9.0
257,34,PUR,0,0,1,1,1948,,,,
258,1,USA,40,19,17,76,1952,38.0,27.0,19.0,84.0
259,2,URS,22,30,19,71,1952,,,,
260,3,HUN,16,10,16,42,1952,10.0,5.0,12.0,27.0
261,4,SWE,12,13,10,35,1952,16.0,11.0,17.0,44.0
262,5,ITA,8,9,4,21,1952,8.0,11.0,8.0,27.0
263,6,TCH,7,3,3,13,1952,6.0,2.0,3.0,11.0
264,7,FRA,6,6,6,18,1952,10.0,6.0,13.0,29.0
265,8,FIN,6,3,13,22,1952,8.0,7.0,5.0,20.0
266,9,AUS,6,2,3,11,1952,2.0,6.0,5.0,13.0
267,10,NOR,3,2,0,5,1952,1.0,3.0,3.0,7.0
268,11,SUI,2,6,6,14,1952,5.0,10.0,5.0,20.0
269,12,RSA,2,4,4,10,1952,2.0,1.0,1.0,4.0
270,13,JAM,2,3,0,5,1952,1.0,2.0,0.0,3.0
271,14,BEL,2,2,0,4,1952,2.0,2.0,3.0,7.0
272,15,DEN,2,1,3,6,1952,5.0,7.0,8.0,20.0
273,16,TUR,2,0,1,3,1952,6.0,4.0,2.0,12.0
274,17,JPN,1,6,2,9,1952,6.0,4.0,10.0,20.0
275,18,GBR,1,2,8,11,1952,3.0,14.0,6.0,23.0
276,19,ARG,1,2,2,5,1952,3.0,3.0,1.0,7.0
277,20,POL,1,2,1,4,1952,0.0,0.0,1.0,1.0
278,21,CAN,1,2,0,3,1952,0.0,1.0,2.0,3.0
279,21,YUG,1,2,0,3,1952,0.0,2.0,0.0,2.0
280,23,ROU,1,1,2,4,1952,0.0,1.0,0.0,1.0
281,24,BRA,1,0,2,3,1952,0.0,0.0,1.0,1.0
282,24,NZL,1,0,2,3,1952,1.0,0.0,0.0,1.0
283,26,IND,1,0,1,2,1952,1.0,0.0,0.0,1.0
284,27,LUX,1,0,0,1,1952,0.0,1.0,0.0,1.0
285,28,GER,0,7,17,24,1952,38.0,31.0,32.0,101.0
286,29,NED,0,5,0,5,1952,5.0,2.0,9.0,16.0
287,30,IRI,0,3,4,7,1952,0.0,0.0,1.0,1.0
288,31,CHI,0,2,0,2,1952,0.0,1.0,0.0,1.0
289,32,AUT,0,1,1,2,1952,1.0,0.0,3.0,4.0
290,32,LBN,0,1,1,2,1952,,,,
291,34,ESP,0,1,0,1,1952,0.0,1.0,0.0,1.0
292,34,IRL,0,1,0,1,1952,2.0,0.0,0.0,2.0
293,34,MEX,0,1,0,1,1952,2.0,1.0,2.0,5.0
294,37,KOR,0,0,2,2,1952,0.0,0.0,2.0,2.0
295,37,TTO,0,0,2,2,1952,0.0,1.0,0.0,1.0
296,37,URU,0,0,2,2,1952,0.0,1.0,1.0,2.0
297,40,BUL,0,0,1,1,1952,,,,
298,40,EGY,0,0,1,1,1952,2.0,2.0,1.0,5.0
299,40,POR,0,0,1,1,1952,0.0,1.0,1.0,2.0
300,40,VEN,0,0,1,1,1952,,,,
301,1,URS,37,29,32,98,1956,22.0,30.0,19.0,71.0
302,2,USA,32,25,17,74,1956,40.0,19.0,17.0,76.0
303,3,AUS,13,8,14,35,1956,6.0,2.0,3.0,11.0
304,4,HUN,9,10,7,26,1956,16.0,10.0,16.0,42.0
305,5,ITA,8,8,9,25,1956,8.0,9.0,4.0,21.0
306,6,SWE,8,5,6,19,1956,12.0,13.0,10.0,35.0
307,7,GER,6,13,7,26,1956,0.0,7.0,17.0,24.0
308,8,GBR,6,7,11,24,1956,1.0,2.0,8.0,11.0
309,9,ROU,5,3,5,13,1956,1.0,1.0,2.0,4.0
310,10,JPN,4,10,5,19,1956,1.0,6.0,2.0,9.0
311,11,FRA,4,4,6,14,1956,6.0,6.0,6.0,18.0
312,12,TUR,3,2,2,7,1956,2.0,0.0,1.0,3.0
313,13,FIN,3,1,11,15,1956,6.0,3.0,13.0,22.0
314,14,IRI,2,2,1,5,1956,0.0,3.0,4.0,7.0
315,15,CAN,2,1,3,6,1956,1.0,2.0,0.0,3.0
316,16,NZL,2,0,0,2,1956,1.0,0.0,2.0,3.0
317,17,POL,1,4,4,9,1956,1.0,2.0,1.0,4.0
318,18,TCH,1,4,1,6,1956,7.0,3.0,3.0,13.0
319,19,BUL,1,3,1,5,1956,0.0,0.0,1.0,1.0
320,20,DEN,1,2,1,4,1956,2.0,1.0,3.0,6.0
321,21,IRL,1,1,3,5,1956,0.0,1.0,0.0,1.0
322,22,NOR,1,0,2,3,1956,3.0,2.0,0.0,5.0
323,23,MEX,1,0,1,2,1956,0.0,1.0,0.0,1.0
324,24,BRA,1,0,0,1,1956,1.0,0.0,2.0,3.0
325,24,IND,1,0,0,1,1956,1.0,0.0,1.0,2.0
326,26,YUG,0,3,0,3,1956,1.0,2.0,0.0,3.0
327,27,CHI,0,2,2,4,1956,0.0,2.0,0.0,2.0
328,28,BEL,0,2,0,2,1956,2.0,2.0,0.0,4.0
329,29,ARG,0,1,1,2,1956,1.0,2.0,2.0,5.0
330,29,KOR,0,1,1,2,1956,0.0,0.0,2.0,2.0
331,31,ISL,0,1,0,1,1956,,,,
332,31,PAK,0,1,0,1,1956,,,,
333,33,RSA,0,0,4,4,1956,2.0,4.0,4.0,10.0
334,34,AUT,0,0,2,2,1956,0.0,1.0,1.0,2.0
335,35,BAH,0,0,1,1,1956,,,,
336,35,GRE,0,0,1,1,1956,0.0,1.0,0.0,1.0
337,35,SUI,0,0,1,1,1956,2.0,6.0,6.0,14.0
338,35,URU,0,0,1,1,1956,0.0,0.0,2.0,2.0
339,1,URS,43,29,31,103,1960,37.0,29.0,32.0,98.0
340,2,USA,34,21,16,71,1960,32.0,25.0,17.0,74.0
341,3,ITA,13,10,13,36,1960,8.0,8.0,9.0,25.0
342,4,GER,12,19,11,42,1960,6.0,13.0,7.0,26.0
343,5,AUS,8,8,6,22,1960,13.0,8.0,14.0,35.0
344,6,TUR,7,2,0,9,1960,3.0,2.0,2.0,7.0
345,7,HUN,6,8,7,21,1960,9.0,10.0,7.0,26.0
346,8,JPN,4,7,7,18,1960,4.0,10.0,5.0,19.0
347,9,POL,4,6,11,21,1960,1.0,4.0,4.0,9.0
348,10,TCH,3,2,3,8,1960,1.0,4.0,1.0,6.0
349,11,ROU,3,1,6,10,1960,5.0,3.0,5.0,13.0
350,12,GBR,2,6,14,22,1960,6.0,7.0,11.0,24.0
351,13,DEN,2,3,1,6,1960,1.0,2.0,1.0,4.0
352,14,NZL,2,0,1,3,1960,2.0,0.0,0.0,2.0
353,15,BUL,1,3,3,7,1960,1.0,3.0,1.0,5.0
354,16,SWE,1,2,3,6,1960,8.0,5.0,6.0,19.0
355,17,FIN,1,1,3,5,1960,3.0,1.0,11.0,15.0
356,18,AUT,1,1,0,2,1960,0.0,0.0,2.0,2.0
357,18,YUG,1,1,0,2,1960,0.0,3.0,0.0,3.0
358,20,PAK,1,0,1,2,1960,0.0,1.0,0.0,1.0
359,21,ETH,1,0,0,1,1960,,,,
360,21,GRE,1,0,0,1,1960,0.0,0.0,1.0,1.0
361,21,NOR,1,0,0,1,1960,1.0,0.0,2.0,3.0
362,24,SUI,0,3,3,6,1960,0.0,0.0,1.0,1.0
363,25,FRA,0,2,3,5,1960,4.0,4.0,6.0,14.0
364,26,BEL,0,2,2,4,1960,0.0,2.0,0.0,2.0
365,27,IRI,0,1,3,4,1960,2.0,2.0,1.0,5.0
366,28,NED,0,1,2,3,1960,0.0,5.0,0.0,5.0
367,28,RSA,0,1,2,3,1960,0.0,0.0,4.0,4.0
368,30,ARG,0,1,1,2,1960,0.0,1.0,1.0,2.0
369,30,EGY,0,1,1,2,1960,0.0,0.0,1.0,1.0
370,32,CAN,0,1,0,1,1960,2.0,1.0,3.0,6.0
371,32,TPE,0,1,0,1,1960,,,,
372,32,GHA,0,1,0,1,1960,,,,
373,32,IND,0,1,0,1,1960,1.0,0.0,0.0,1.0
374,32,MAR,0,1,0,1,1960,,,,
375,32,POR,0,1,0,1,1960,0.0,0.0,1.0,1.0
376,32,SGP,0,1,0,1,1960,,,,
377,39,BRA,0,0,2,2,1960,1.0,0.0,0.0,1.0
378,40,ESP,0,0,1,1,1960,0.0,1.0,0.0,1.0
379,40,IRQ,0,0,1,1,1960,,,,
380,40,MEX,0,0,1,1,1960,1.0,0.0,1.0,2.0
381,40,VEN,0,0,1,1,1960,0.0,0.0,1.0,1.0
382,1,USA,36,26,28,90,1964,34.0,21.0,16.0,71.0
383,2,URS,30,31,35,96,1964,43.0,29.0,31.0,103.0
384,3,JPN,16,5,8,29,1964,4.0,7.0,7.0,18.0
385,4,GER,10,22,18,50,1964,12.0,19.0,11.0,42.0
386,5,ITA,10,10,7,27,1964,13.0,10.0,13.0,36.0
387,6,HUN,10,7,5,22,1964,6.0,8.0,7.0,21.0
388,7,POL,7,6,10,23,1964,4.0,6.0,11.0,21.0
389,8,AUS,6,2,10,18,1964,8.0,8.0,6.0,22.0
390,9,TCH,5,6,3,14,1964,3.0,2.0,3.0,8.0
391,10,GBR,4,12,2,18,1964,2.0,6.0,14.0,22.0
392,11,BUL,3,5,2,10,1964,1.0,3.0,3.0,7.0
393,12,FIN,3,0,2,5,1964,1.0,1.0,3.0,5.0
394,12,NZL,3,0,2,5,1964,2.0,0.0,1.0,3.0
395,14,ROU,2,4,6,12,1964,3.0,1.0,6.0,10.0
396,15,NED,2,4,4,10,1964,0.0,1.0,2.0,3.0
397,16,TUR,2,3,1,6,1964,7.0,2.0,0.0,9.0
398,17,SWE,2,2,4,8,1964,1.0,2.0,3.0,6.0
399,18,DEN,2,1,3,6,1964,2.0,3.0,1.0,6.0
400,19,YUG,2,1,2,5,1964,1.0,1.0,0.0,2.0
401,20,BEL,2,0,1,3,1964,0.0,2.0,2.0,4.0
402,21,FRA,1,8,6,15,1964,0.0,2.0,3.0,5.0
403,22,CAN,1,2,1,4,1964,0.0,1.0,0.0,1.0
404,22,SUI,1,2,1,4,1964,0.0,3.0,3.0,6.0
405,24,BAH,1,0,0,1,1964,0.0,0.0,1.0,1.0
406,24,ETH,1,0,0,1,1964,1.0,0.0,0.0,1.0
407,24,IND,1,0,0,1,1964,0.0,1.0,0.0,1.0
408,27,KOR,0,2,1,3,1964,0.0,1.0,1.0,2.0
409,28,TTO,0,1,2,3,1964,0.0,0.0,2.0,2.0
410,29,TUN,0,1,1,2,1964,,,,
411,30,ARG,0,1,0,1,1964,0.0,1.0,1.0,2.0
412,30,CUB,0,1,0,1,1964,0.0,1.0,0.0,1.0
413,30,PAK,0,1,0,1,1964,1.0,0.0,1.0,2.0
414,30,PHI,0,1,0,1,1964,0.0,0.0,1.0,1.0
415,34,IRI,0,0,2,2,1964,0.0,1.0,3.0,4.0
416,35,BRA,0,0,1,1,1964,0.0,0.0,2.0,2.0
417,35,GHA,0,0,1,1,1964,0.0,1.0,0.0,1.0
418,35,IRL,0,0,1,1,1964,1.0,1.0,3.0,5.0
419,35,KEN,0,0,1,1,1964,,,,
420,35,MEX,0,0,1,1,1964,0.0,0.0,1.0,1.0
421,35,NGR,0,0,1,1,1964,,,,
