,NOC,Year,Sport,isHoster,Bronze,Gold,No medal,Silver
210,ALG,2016,Football,0,0,0,1,0
211,ALG,2016,Gymnastics,0,0,0,10,0
212,ALG,2016,Judo,0,0,0,5,0
213,ALG,2016,Rowing,0,0,0,2,0
214,ALG,2016,Sailing,0,0,0,3,0
215,ALG,2016,Shooting,0,0,0,2,0
216,ALG,2016,Swimming,0,0,0,2,0
217,ALG,2016,Weightlifting,0,0,0,2,0
218,ALG,2016,Wrestling,0,0,0,4,0
219,ALG,2020,Athletics,0,0,0,5,0
220,ALG,2020,Boxing,0,0,0,8,0
221,ALG,2020,Canoe Sprint,0,0,0,2,0
222,ALG,2020,Cycling Road,0,0,0,2,0
223,ALG,2020,Fencing,0,0,0,4,0
224,ALG,2020,Judo,0,0,0,2,0
225,ALG,2020,Karate,0,0,0,1,0
226,ALG,2020,Marathon Swimming,0,0,0,1,0
227,ALG,2020,Rowing,0,0,0,1,0
228,ALG,2020,Sailing,0,0,0,2,0
229,ALG,2020,Shooting,0,0,0,1,0
230,ALG,2020,Swimming,0,0,0,4,0
231,ALG,2020,Table Tennis,0,0,0,1,0
232,ALG,2020,Weightlifting,0,0,0,1,0
233,ALG,2020,Wrestling,0,0,0,8,0
234,ALG,2024,Artistic Gymnastics,0,0,1,5,0
235,ALG,2024,Athletics,0,1,0,6,0
236,ALG,2024,Badminton,0,0,0,1,0
237,ALG,2024,Boxing,0,0,1,4,0
238,ALG,2024,Canoe Slalom,0,0,0,2,0
239,ALG,2024,Cycling Road,0,0,0,2,0
240,ALG,2024,Fencing,0,0,0,3,0
241,ALG,2024,Judo,0,0,0,3,0
242,ALG,2024,Rowing,0,0,0,2,0
243,ALG,2024,Sailing,0,0,0,1,0
244,ALG,2024,Shooting,0,0,0,3,0
245,ALG,2024,Swimming,0,0,0,2,0
246,ALG,2024,Table Tennis,0,0,0,2,0
247,ALG,2024,Weightlifting,0,0,0,1,0
248,ALG,2024,Wrestling,0,0,0,8,0
249,AND,1976,Boxing,0,0,0,1,0
250,AND,1976,Shooting,0,0,0,1,0
251,AND,1980,Shooting,0,0,0,1,0
252,AND,1984,Shooting,0,0,0,1,0
253,AND,1988,Athletics,0,0,0,2,0
254,AND,1988,Cycling,0,0,0,2,0
255,AND,1992,Athletics,0,0,0,1,0
256,AND,1992,Cycling,0,0,0,2,0
257,AND,1992,Judo,0,0,0,1,0
258,AND,1992,Sailing,0,0,0,1,0
259,AND,1992,Shooting,0,0,0,1,0
260,AND,1996,Athletics,0,0,0,1,0
261,AND,1996,Judo,0,0,0,1,0
262,AND,1996,Sailing,0,0,0,2,0
263,AND,1996,Shooting,0,0,0,1,0
264,AND,1996,Swimming,0,0,0,2,0
265,AND,2000,Athletics,0,0,0,2,0
266,AND,2000,Shooting,0,0,0,1,0
267,AND,2000,Swimming,0,0,0,2,0
268,AND,2004,Athletics,0,0,0,2,0
269,AND,2004,Judo,0,0,0,1,0
270,AND,2004,Shooting,0,0,0,1,0
271,AND,2004,Swimming,0,0,0,2,0
272,AND,2008,Athletics,0,0,0,2,0
273,AND,2008,Canoeing,0,0,0,2,0
274,AND,2008,Judo,0,0,0,1,0
275,AND,2008,Swimming,0,0,0,1,0
276,AND,2012,Athletics,0,0,0,2,0
277,AND,2012,Judo,0,0,0,1,0
278,AND,2012,Shooting,0,0,0,1,0
279,AND,2012,Swimming,0,0,0,2,0
280,AND,2016,Athletics,0,0,0,1,0
281,AND,2016,Judo,0,0,0,1,0
282,AND,2016,Shooting,0,0,0,2,0
283,AND,2016,Swimming,0,0,0,1,0
284,AND,2020,Athletics,0,0,0,1,0
285,AND,2020,Canoe Slalom,0,0,0,2,0
286,AND,2024,Athletics,0,0,0,1,0
287,AND,2024,Canoe Slalom,0,0,0,3,0
288,ANG,1980,Athletics,0,0,0,3,0
289,ANG,1980,Boxing,0,0,0,3,0
290,ANG,1980,Swimming,0,0,0,8,0
291,ANG,1988,Athletics,0,0,0,8,0
292,ANG,1988,Boxing,0,0,0,3,0
293,ANG,1988,Judo,0,0,0,7,0
294,ANG,1988,Swimming,0,0,0,9,0
295,ANG,1992,Athletics,0,0,0,7,0
296,ANG,1992,Basketball,0,0,0,1,0
297,ANG,1992,Boxing,0,0,0,1,0
298,ANG,1992,Judo,0,0,0,4,0
299,ANG,1992,Sailing,0,0,0,2,0
300,ANG,1992,Swimming,0,0,0,6,0
301,ANG,1996,Athletics,0,0,0,3,0
302,ANG,1996,Basketball,0,0,0,1,0
303,ANG,1996,Handball,0,0,0,1,0
304,ANG,1996,Shooting,0,0,0,1,0
305,ANG,1996,Swimming,0,0,0,2,0
306,ANG,2000,Athletics,0,0,0,2,0
307,ANG,2000,Basketball,0,0,0,1,0
308,ANG,2000,Handball,0,0,0,1,0
309,ANG,2000,Shooting,0,0,0,1,0
310,ANG,2000,Swimming,0,0,0,2,0
311,ANG,2004,Athletics,0,0,0,1,0
312,ANG,2004,Basketball,0,0,0,1,0
313,ANG,2004,Handball,0,0,0,1,0
314,ANG,2004,Judo,0,0,0,1,0
315,ANG,2004,Swimming,0,0,0,1,0
316,ANG,2008,Athletics,0,0,0,1,0
317,ANG,2008,Basketball,0,0,0,1,0
318,ANG,2008,Beach Volleyball,0,0,0,1,0
319,ANG,2008,Canoeing,0,0,0,3,0
320,ANG,2008,Handball,0,0,0,1,0
321,ANG,2008,Swimming,0,0,0,2,0
322,ANG,2012,Athletics,0,0,0,2,0
323,ANG,2012,Basketball,0,0,0,1,0
324,ANG,2012,Canoeing,0,0,0,4,0
325,ANG,2012,Handball,0,0,0,1,0
326,ANG,2012,Judo,0,0,0,1,0
327,ANG,2012,Swimming,0,0,0,2,0
328,ANG,2016,Athletics,0,0,0,2,0
329,ANG,2016,Handball,0,0,0,1,0
330,ANG,2016,Judo,0,0,0,1,0
331,ANG,2016,Rowing,0,0,0,1,0
332,ANG,2016,Sailing,0,0,0,2,0
333,ANG,2016,Shooting,0,0,0,1,0
334,ANG,2016,Swimming,0,0,0,2,0
335,ANG,2020,Athletics,0,0,0,1,0
336,ANG,2020,Handball,0,0,0,1,0
337,ANG,2020,Judo,0,0,0,1,0
338,ANG,2020,Sailing,0,0,0,1,0
339,ANG,2020,Swimming,0,0,0,2,0
340,ANG,2024,Athletics,0,0,0,1,0
341,ANG,2024,Canoe Sprint,0,0,0,2,0
342,ANG,2024,Handball,0,0,0,1,0
343,ANG,2024,Judo,0,0,0,1,0
344,ANG,2024,Rowing,0,0,0,1,0
345,ANG,2024,Sailing,0,0,0,2,0
346,ANG,2024,Swimming,0,0,0,2,0
347,ANT,1976,Athletics,0,0,0,8,0
348,ANT,1976,Cycling,0,0,0,4,0
349,ANT,1984,Athletics,0,0,0,13,0
350,ANT,1984,Cycling,0,0,0,3,0
351,ANT,1984,Sailing,0,0,0,1,0
352,ANT,1988,Athletics,0,0,0,13,0
353,ANT,1988,Boxing,0,0,0,2,0
354,ANT,1988,Cycling,0,0,0,3,0
355,ANT,1988,Sailing,0,0,0,1,0
356,ANT,1992,Athletics,0,0,0,7,0
357,ANT,1992,Cycling,0,0,0,6,0
358,ANT,1992,Sailing,0,0,0,4,0
359,ANT,1996,Athletics,0,0,0,5,0
360,ANT,1996,Canoeing,0,0,0,4,0
361,ANT,1996,Cycling,0,0,0,2,0
362,ANT,1996,Sailing,0,0,0,1,0
363,ANT,2000,Athletics,0,0,0,3,0
364,ANT,2000,Sailing,0,0,0,1,0
365,ANT,2004,Athletics,0,0,0,3,0
366,ANT,2004,Swimming,0,0,0,2,0
367,ANT,2008,Athletics,0,0,0,4,0
368,ANT,2008,Swimming,0,0,0,1,0
369,ANT,2012,Athletics,0,0,0,3,0
370,ANT,2012,Swimming,0,0,0,1,0
371,ANT,2016,Athletics,0,0,0,3,0
372,ANT,2016,Swimming,0,0,0,2,0
373,ANT,2020,Athletics,0,0,0,2,0
374,ANT,2020,Boxing,0,0,0,1,0
375,ANT,2020,Sailing,0,0,0,1,0
376,ANT,2020,Swimming,0,0,0,2,0
377,ANT,2024,Athletics,0,0,0,2,0
378,ANT,2024,Sailing,0,0,0,1,0
379,ANT,2024,Swimming,0,0,0,2,0
380,ANZ,1908,Athletics,0,1,0,9,0
381,ANZ,1908,Boxing,0,0,0,0,1
382,ANZ,1908,Diving,0,0,0,1,0
383,ANZ,1908,Rugby,0,0,1,0,0
384,ANZ,1908,Shooting,0,0,0,6,0
385,ANZ,1908,Swimming,0,1,0,5,1
386,ANZ,1912,Athletics,0,0,0,7,0
387,ANZ,1912,Rowing,0,0,0,2,0
388,ANZ,1912,Swimming,0,2,2,5,2
389,ANZ,1912,Tennis,0,2,0,0,0
390,ARG,1900,Fencing,0,0,0,2,0
391,ARG,1908,Figure Skating,0,0,0,1,0
392,ARG,1920,Boxing,0,0,0,1,0
393,ARG,1924,Athletics,0,0,0,7,1
394,ARG,1924,Boxing,0,2,0,6,2
395,ARG,1924,Cycling,0,0,0,5,0
396,ARG,1924,Fencing,0,0,0,5,0
397,ARG,1924,Polo,0,0,1,0,0
398,ARG,1924,Rowing,0,0,0,1,0
399,ARG,1924,Sailing,0,0,0,2,0
400,ARG,1924,Shooting,0,0,0,5,0
401,ARG,1924,Swimming,0,0,0,3,0
402,ARG,1924,Tennis,0,0,0,2,0
403,ARG,1924,Weightlifting,0,0,0,2,0
404,ARG,1928,Athletics,0,0,0,7,0
405,ARG,1928,Boxing,0,0,2,4,2
406,ARG,1928,Cycling,0,0,0,5,0
407,ARG,1928,Equestrianism,0,0,0,3,0
408,ARG,1928,Fencing,0,2,0,3,0
409,ARG,1928,Football,0,0,0,0,1
410,ARG,1928,Rowing,0,0,0,1,0
411,ARG,1928,Sailing,0,0,0,1,0
412,ARG,1928,Swimming,0,0,1,3,0
413,ARG,1928,Water Polo,0,0,0,1,0
414,ARG,1928,Weightlifting,0,0,0,3,0
415,ARG,1928,Wrestling,0,0,0,6,0
416,ARG,1932,Art Competitions,0,0,0,1,0
417,ARG,1932,Athletics,0,0,1,12,0
418,ARG,1932,Boxing,0,0,2,5,1
419,ARG,1932,Fencing,0,0,0,5,0
420,ARG,1932,Shooting,0,0,0,3,0
421,ARG,1932,Swimming,0,0,0,3,0
422,ARG,1932,Weightlifting,0,0,0,1,0
423,ARG,1936,Athletics,0,0,0,9,0
424,ARG,1936,Boxing,0,2,1,4,1
425,ARG,1936,Fencing,0,0,0,5,0
426,ARG,1936,Polo,0,0,1,0,0
427,ARG,1936,Rowing,0,1,0,1,0
428,ARG,1936,Sailing,0,0,0,2,0
429,ARG,1936,Shooting,0,0,0,6,0
430,ARG,1936,Swimming,0,0,0,0,1
431,ARG,1948,Athletics,0,0,1,22,1
432,ARG,1948,Basketball,0,0,0,1,0
433,ARG,1948,Boxing,0,1,2,5,0
434,ARG,1948,Cycling,0,0,0,9,0
435,ARG,1948,Equestrianism,0,0,0,5,0
436,ARG,1948,Fencing,0,0,0,6,0
437,ARG,1948,Gymnastics,0,0,0,8,0
438,ARG,1948,Hockey,0,0,0,1,0
439,ARG,1948,Modern Pentathlon,0,0,0,1,0
440,ARG,1948,Rowing,0,0,0,7,0
441,ARG,1948,Sailing,0,0,0,3,1
442,ARG,1948,Shooting,0,0,0,9,2
443,ARG,1948,Swimming,0,0,0,11,0
444,ARG,1948,Water Polo,0,0,0,1,0
445,ARG,1948,Weightlifting,0,0,0,5,0
446,ARG,1948,Wrestling,0,0,0,9,0
447,ARG,1952,Athletics,0,0,0,13,1
448,ARG,1952,Basketball,0,0,0,1,0
449,ARG,1952,Boxing,0,1,0,8,1
450,ARG,1952,Cycling,0,0,0,4,0
451,ARG,1952,Equestrianism,0,0,0,4,0
452,ARG,1952,Fencing,0,0,0,6,0
453,ARG,1952,Gymnastics,0,0,0,7,0
454,ARG,1952,Modern Pentathlon,0,0,0,2,0
455,ARG,1952,Rowing,0,0,1,2,0
456,ARG,1952,Sailing,0,0,0,5,0
457,ARG,1952,Shooting,0,0,0,8,0
458,ARG,1952,Swimming,0,0,0,7,0
459,ARG,1952,Water Polo,0,0,0,1,0
460,ARG,1952,Weightlifting,0,1,0,4,0
461,ARG,1952,Wrestling,0,0,0,8,0
462,ARG,1956,Athletics,0,0,0,2,0
463,ARG,1956,Boxing,0,1,0,9,0
464,ARG,1956,Equestrianism,0,0,0,5,0
465,ARG,1956,Fencing,0,0,0,3,0
466,ARG,1956,Modern Pentathlon,0,0,0,1,0
467,ARG,1956,Sailing,0,0,0,3,0
468,ARG,1956,Shooting,0,0,0,5,0
469,ARG,1956,Weightlifting,0,0,0,1,1
470,ARG,1956,Wrestling,0,0,0,4,0
471,ARG,1960,Athletics,0,0,0,2,0
472,ARG,1960,Boxing,0,1,0,9,0
473,ARG,1960,Cycling,0,0,0,5,0
474,ARG,1960,Diving,0,0,0,1,0
475,ARG,1960,Equestrianism,0,0,0,5,0
476,ARG,1960,Fencing,0,0,0,4,0
477,ARG,1960,Football,0,0,0,1,0
478,ARG,1960,Gymnastics,0,0,0,7,0
479,ARG,1960,Modern Pentathlon,0,0,0,2,0
480,ARG,1960,Rowing,0,0,0,3,0
481,ARG,1960,Sailing,0,0,0,3,1
482,ARG,1960,Shooting,0,0,0,9,0
483,ARG,1960,Swimming,0,0,0,3,0
484,ARG,1960,Water Polo,0,0,0,1,0
485,ARG,1960,Wrestling,0,0,0,5,0
486,ARG,1964,Athletics,0,0,0,8,0
487,ARG,1964,Boxing,0,0,0,10,0
488,ARG,1964,Cycling,0,0,0,7,0
489,ARG,1964,Equestrianism,0,0,0,5,2
490,ARG,1964,Fencing,0,0,0,6,0
491,ARG,1964,Football,0,0,0,1,0
492,ARG,1964,Gymnastics,0,0,0,7,0
493,ARG,1964,Judo,0,0,0,3,0
494,ARG,1964,Rowing,0,0,0,5,0
495,ARG,1964,Sailing,0,0,0,3,0
496,ARG,1964,Shooting,0,0,0,8,0
497,ARG,1964,Swimming,0,0,0,9,0
498,ARG,1964,Weightlifting,0,0,0,2,0
499,ARG,1964,Wrestling,0,0,0,7,0
500,ARG,1968,Athletics,0,0,0,9,0
501,ARG,1968,Boxing,0,1,0,6,0
502,ARG,1968,Cycling,0,0,0,8,0
503,ARG,1968,Equestrianism,0,0,0,4,0
504,ARG,1968,Fencing,0,0,0,6,0
505,ARG,1968,Hockey,0,0,0,1,0
506,ARG,1968,Rowing,0,1,0,2,0
507,ARG,1968,Sailing,0,0,0,3,0
508,ARG,1968,Shooting,0,0,0,3,0
509,ARG,1968,Swimming,0,0,0,11,0
510,ARG,1968,Weightlifting,0,0,0,1,0
511,ARG,1968,Wrestling,0,0,0,5,0
512,ARG,1972,Athletics,0,0,0,8,0
513,ARG,1972,Boxing,0,0,0,5,0
514,ARG,1972,Cycling,0,0,0,7,0
515,ARG,1972,Equestrianism,0,0,0,4,0
516,ARG,1972,Fencing,0,0,0,6,0
517,ARG,1972,Hockey,0,0,0,1,0
518,ARG,1972,Judo,0,0,0,2,0
519,ARG,1972,Rowing,0,0,0,4,1
520,ARG,1972,Sailing,0,0,0,3,0
521,ARG,1972,Shooting,0,0,0,8,0
522,ARG,1972,Swimming,0,0,0,13,0
523,ARG,1972,Wrestling,0,0,0,5,0
524,ARG,1976,Athletics,0,0,0,2,0
525,ARG,1976,Boxing,0,0,0,3,0
526,ARG,1976,Cycling,0,0,0,3,0
527,ARG,1976,Equestrianism,0,0,0,5,0
528,ARG,1976,Fencing,0,0,0,5,0
529,ARG,1976,Hockey,0,0,0,1,0
530,ARG,1976,Judo,0,0,0,3,0
531,ARG,1976,Rowing,0,0,0,3,0
532,ARG,1976,Sailing,0,0,0,2,0
533,ARG,1976,Shooting,0,0,0,8,0
534,ARG,1976,Swimming,0,0,0,13,0
535,ARG,1976,Wrestling,0,0,0,5,0
536,ARG,1984,Athletics,0,0,0,9,0
537,ARG,1984,Boxing,0,0,0,6,0
538,ARG,1984,Canoeing,0,0,0,3,0
539,ARG,1984,Cycling,0,0,0,8,0
540,ARG,1984,Diving,0,0,0,2,0
541,ARG,1984,Equestrianism,0,0,0,3,0
542,ARG,1984,Fencing,0,0,0,6,0
543,ARG,1984,Judo,0,0,0,4,0
544,ARG,1984,Rowing,0,0,0,3,0
545,ARG,1984,Sailing,0,0,0,4,0
546,ARG,1984,Shooting,0,0,0,10,0
547,ARG,1984,Swimming,0,0,0,12,0
548,ARG,1984,Volleyball,0,0,0,1,0
549,ARG,1984,Wrestling,0,0,0,5,0
550,ARG,1988,Archery,0,0,0,1,0
551,ARG,1988,Athletics,0,0,0,2,0
552,ARG,1988,Boxing,0,0,0,4,0
553,ARG,1988,Canoeing,0,0,0,7,0
554,ARG,1988,Cycling,0,0,0,6,0
555,ARG,1988,Diving,0,0,0,2,0
556,ARG,1988,Fencing,0,0,0,3,0
557,ARG,1988,Football,0,0,0,1,0
558,ARG,1988,Hockey,0,0,0,2,0
559,ARG,1988,Judo,0,0,0,3,0
560,ARG,1988,Rowing,0,0,0,2,0
561,ARG,1988,Sailing,0,0,0,6,0
562,ARG,1988,Shooting,0,0,0,7,0
563,ARG,1988,Swimming,0,0,0,4,0
564,ARG,1988,Table Tennis,0,0,0,1,0
565,ARG,1988,Tennis,0,0,0,4,1
566,ARG,1988,Volleyball,0,1,0,0,0
567,ARG,1988,Wrestling,0,0,0,4,0
568,ARG,1992,Athletics,0,0,0,4,0
569,ARG,1992,Boxing,0,0,0,3,0
570,ARG,1992,Canoeing,0,0,0,6,0
571,ARG,1992,Cycling,0,0,0,6,0
572,ARG,1992,Diving,0,0,0,2,0
