,NOC,Gold,Silver,Bronze,Total,Year,Past_Gold,Past_Silver,Past_Bronze,Past_Total,Events_Count,Sports_Count,isHoster
97,GRE,0,1,0,1,1920,1.0,0.0,1.0,2.0,98.0,98.0,0.0
98,LUX,0,1,0,1,1920,1.0,0.0,0.0,1.0,35.0,35.0,0.0
99,TCH,0,0,2,2,1920,nan,nan,nan,nan,182.0,182.0,0.0
100,NZL,0,0,1,1,1920,nan,nan,nan,nan,6.0,6.0,0.0
101,USA,45,27,27,99,1924,41.0,27.0,27.0,95.0,459.0,459.0,0.0
102,FIN,14,13,10,37,1924,15.0,10.0,9.0,34.0,253.0,253.0,0.0
103,FRA,13,15,10,38,1924,9.0,19.0,13.0,41.0,636.0,636.0,0.0
104,GBR,9,13,12,34,1924,14.0,15.0,13.0,42.0,428.0,428.0,0.0
105,ITA,8,3,5,16,1924,13.0,5.0,5.0,23.0,333.0,333.0,0.0
106,SUI,7,8,10,25,1924,2.0,2.0,7.0,11.0,262.0,262.0,0.0
107,NOR,5,2,3,10,1924,13.0,9.0,9.0,31.0,105.0,105.0,0.0
108,SWE,4,13,12,29,1924,19.0,20.0,25.0,64.0,256.0,256.0,0.0
109,NED,4,1,5,10,1924,4.0,2.0,5.0,11.0,246.0,246.0,0.0
110,BEL,3,7,3,13,1924,14.0,11.0,11.0,36.0,234.0,234.0,0.0
111,AUS,3,1,2,6,1924,0.0,2.0,1.0,3.0,60.0,60.0,0.0
112,DEN,2,5,2,9,1924,3.0,9.0,1.0,13.0,158.0,158.0,0.0
113,HUN,2,3,4,9,1924,3.0,2.0,3.0,8.0,140.0,140.0,0.0
114,YUG,2,0,0,2,1924,nan,nan,nan,nan,116.0,116.0,0.0
115,TCH,1,4,5,10,1924,0.0,0.0,2.0,2.0,242.0,242.0,0.0
116,ARG,1,3,2,6,1924,nan,nan,nan,nan,109.0,109.0,0.0
117,EST,1,1,4,6,1924,1.0,2.0,0.0,3.0,47.0,47.0,0.0
118,RSA,1,1,1,3,1924,3.0,4.0,3.0,10.0,44.0,44.0,0.0
119,URU,1,0,0,1,1924,nan,nan,nan,nan,40.0,40.0,0.0
120,AUT,0,3,1,4,1924,0.0,2.0,2.0,4.0,56.0,56.0,0.0
121,CAN,0,3,1,4,1924,3.0,3.0,3.0,9.0,83.0,83.0,0.0
122,POL,0,1,1,2,1924,nan,nan,nan,nan,100.0,100.0,0.0
123,HAI,0,0,1,1,1924,nan,nan,nan,nan,16.0,16.0,0.0
124,JPN,0,0,1,1,1924,0.0,2.0,0.0,2.0,37.0,37.0,0.0
125,NZL,0,0,1,1,1924,0.0,0.0,1.0,1.0,6.0,6.0,0.0
126,POR,0,0,1,1,1924,nan,nan,nan,nan,47.0,47.0,0.0
127,ROU,0,0,1,1,1924,nan,nan,nan,nan,45.0,45.0,0.0
128,USA,22,18,16,56,1928,45.0,27.0,27.0,99.0,426.0,426.0,0.0
129,GER,10,7,14,31,1928,5.0,13.0,7.0,25.0,399.0,399.0,0.0
130,FIN,8,8,9,25,1928,14.0,13.0,10.0,37.0,132.0,132.0,0.0
131,SWE,7,6,12,25,1928,4.0,13.0,12.0,29.0,139.0,139.0,0.0
132,ITA,7,5,7,19,1928,8.0,3.0,5.0,16.0,273.0,273.0,0.0
133,SUI,7,4,4,15,1928,7.0,8.0,10.0,25.0,236.0,236.0,0.0
134,FRA,6,10,5,21,1928,13.0,15.0,10.0,38.0,422.0,422.0,0.0
135,NED,6,9,4,19,1928,4.0,1.0,5.0,10.0,384.0,384.0,0.0
136,HUN,4,5,0,9,1928,2.0,3.0,4.0,9.0,219.0,219.0,0.0
137,CAN,4,4,7,15,1928,0.0,3.0,1.0,4.0,113.0,113.0,0.0
138,GBR,3,10,7,20,1928,9.0,13.0,12.0,34.0,354.0,354.0,0.0
139,ARG,3,3,1,7,1928,1.0,3.0,2.0,6.0,98.0,98.0,0.0
140,DEN,3,1,2,6,1928,2.0,5.0,2.0,9.0,122.0,122.0,0.0
141,TCH,2,5,2,9,1928,1.0,4.0,5.0,10.0,147.0,147.0,0.0
142,JPN,2,2,1,5,1928,0.0,0.0,1.0,1.0,56.0,56.0,0.0
143,EST,2,1,2,5,1928,1.0,1.0,4.0,6.0,23.0,23.0,0.0
144,EGY,2,1,1,4,1928,nan,nan,nan,nan,43.0,43.0,0.0
145,AUT,2,0,1,3,1928,0.0,3.0,1.0,4.0,113.0,113.0,0.0
146,AUS,1,2,1,4,1928,3.0,1.0,2.0,6.0,29.0,29.0,0.0
147,NOR,1,2,1,4,1928,5.0,2.0,3.0,10.0,79.0,79.0,0.0
148,POL,1,1,3,5,1928,0.0,1.0,1.0,2.0,146.0,146.0,0.0
149,YUG,1,1,3,5,1928,2.0,0.0,0.0,2.0,86.0,86.0,0.0
150,RSA,1,0,2,3,1928,1.0,1.0,1.0,3.0,40.0,40.0,0.0
151,ESP,1,0,0,1,1928,0.0,2.0,0.0,2.0,106.0,106.0,0.0
152,IND,1,0,0,1,1928,0.0,2.0,0.0,2.0,24.0,24.0,0.0
153,IRL,1,0,0,1,1928,nan,nan,nan,nan,44.0,44.0,0.0
154,NZL,1,0,0,1,1928,0.0,0.0,1.0,1.0,13.0,13.0,0.0
155,URU,1,0,0,1,1928,1.0,0.0,0.0,1.0,17.0,17.0,0.0
156,BEL,0,1,2,3,1928,3.0,7.0,3.0,13.0,260.0,260.0,0.0
157,CHI,0,1,0,1,1928,nan,nan,nan,nan,46.0,46.0,0.0
158,HAI,0,1,0,1,1928,0.0,0.0,1.0,1.0,3.0,3.0,0.0
159,PHI,0,0,1,1,1928,nan,nan,nan,nan,6.0,6.0,0.0
160,POR,0,0,1,1,1928,0.0,0.0,1.0,1.0,39.0,39.0,0.0
161,USA,44,36,30,110,1932,22.0,18.0,16.0,56.0,743.0,743.0,0.0
162,ITA,12,12,12,36,1932,7.0,5.0,7.0,19.0,154.0,154.0,0.0
163,FRA,11,5,4,20,1932,6.0,10.0,5.0,21.0,159.0,159.0,0.0
164,SWE,10,5,9,24,1932,7.0,6.0,12.0,25.0,128.0,128.0,0.0
165,JPN,7,7,4,18,1932,2.0,2.0,1.0,5.0,203.0,203.0,0.0
166,HUN,6,5,5,16,1932,4.0,5.0,0.0,9.0,118.0,118.0,0.0
167,GER,5,12,7,24,1932,10.0,7.0,14.0,31.0,202.0,202.0,0.0
168,FIN,5,8,12,25,1932,8.0,8.0,9.0,25.0,66.0,66.0,0.0
169,GBR,5,7,5,17,1932,3.0,10.0,7.0,20.0,170.0,170.0,0.0
170,POL,3,2,4,9,1932,1.0,1.0,3.0,5.0,71.0,71.0,0.0
171,AUS,3,1,1,5,1932,1.0,2.0,1.0,4.0,20.0,20.0,0.0
172,ARG,3,1,0,4,1932,3.0,3.0,1.0,7.0,47.0,47.0,0.0
173,CAN,2,5,9,16,1932,4.0,4.0,7.0,15.0,191.0,191.0,0.0
174,NED,2,5,1,8,1932,6.0,9.0,4.0,19.0,80.0,80.0,0.0
175,RSA,2,0,3,5,1932,1.0,0.0,2.0,3.0,20.0,20.0,0.0
176,IRL,2,0,0,2,1932,1.0,0.0,0.0,1.0,18.0,18.0,0.0
177,TCH,1,3,2,6,1932,2.0,5.0,2.0,9.0,44.0,44.0,0.0
178,AUT,1,1,3,5,1932,2.0,0.0,1.0,3.0,33.0,33.0,0.0
179,IND,1,0,0,1,1932,1.0,0.0,0.0,1.0,26.0,26.0,0.0
180,DEN,0,5,3,8,1932,3.0,1.0,2.0,6.0,94.0,94.0,0.0
181,MEX,0,2,0,2,1932,nan,nan,nan,nan,100.0,100.0,0.0
182,LAT,0,1,0,1,1932,nan,nan,nan,nan,13.0,13.0,0.0
183,NZL,0,1,0,1,1932,1.0,0.0,0.0,1.0,29.0,29.0,0.0
184,SUI,0,1,0,1,1932,7.0,4.0,4.0,15.0,9.0,9.0,0.0
185,PHI,0,0,3,3,1932,0.0,0.0,1.0,1.0,8.0,8.0,0.0
186,BEL,0,0,1,1,1932,0.0,1.0,2.0,3.0,69.0,69.0,0.0
187,ESP,0,0,1,1,1932,1.0,0.0,0.0,1.0,8.0,8.0,0.0
188,URU,0,0,1,1,1932,1.0,0.0,0.0,1.0,6.0,6.0,0.0
189,GER,38,31,32,101,1936,5.0,12.0,7.0,24.0,581.0,581.0,0.0
190,USA,24,21,12,57,1936,44.0,36.0,30.0,110.0,487.0,487.0,0.0
191,HUN,10,1,5,16,1936,6.0,5.0,5.0,16.0,335.0,335.0,0.0
192,ITA,9,13,5,27,1936,12.0,12.0,12.0,36.0,349.0,349.0,0.0
193,FIN,8,6,6,20,1936,5.0,8.0,12.0,25.0,186.0,186.0,0.0
194,FRA,7,6,6,19,1936,11.0,5.0,4.0,20.0,303.0,303.0,0.0
195,SWE,6,5,10,21,1936,10.0,5.0,9.0,24.0,231.0,231.0,0.0
196,JPN,6,4,10,20,1936,7.0,7.0,4.0,18.0,325.0,325.0,0.0
197,NED,6,4,7,17,1936,2.0,5.0,1.0,8.0,227.0,227.0,0.0
198,AUT,5,7,5,17,1936,1.0,1.0,3.0,5.0,363.0,363.0,0.0
199,SUI,4,9,5,18,1936,0.0,1.0,0.0,1.0,328.0,328.0,0.0
200,GBR,4,7,3,14,1936,5.0,7.0,5.0,17.0,250.0,250.0,0.0
201,TCH,3,5,1,9,1936,1.0,3.0,2.0,6.0,293.0,293.0,0.0
202,ARG,2,2,3,7,1936,3.0,1.0,0.0,4.0,68.0,68.0,0.0
203,EST,2,2,3,7,1936,2.0,1.0,2.0,5.0,36.0,36.0,0.0
204,EGY,2,1,2,5,1936,2.0,1.0,1.0,4.0,66.0,66.0,0.0
205,CAN,1,3,5,9,1936,2.0,5.0,9.0,16.0,167.0,167.0,0.0
206,NOR,1,3,2,6,1936,1.0,2.0,1.0,4.0,84.0,84.0,0.0
207,TUR,1,0,1,2,1936,nan,nan,nan,nan,62.0,62.0,0.0
208,IND,1,0,0,1,1936,1.0,0.0,0.0,1.0,30.0,30.0,0.0
209,NZL,1,0,0,1,1936,0.0,1.0,0.0,1.0,9.0,9.0,0.0
210,POL,0,4,5,9,1936,3.0,2.0,4.0,9.0,177.0,177.0,0.0
211,DEN,0,2,3,5,1936,0.0,5.0,3.0,8.0,173.0,173.0,0.0
212,LAT,0,1,1,2,1936,0.0,1.0,0.0,1.0,33.0,33.0,0.0
213,ROU,0,1,0,1,1936,0.0,0.0,1.0,1.0,118.0,118.0,0.0
214,RSA,0,1,0,1,1936,2.0,0.0,3.0,5.0,54.0,54.0,0.0
215,YUG,0,1,0,1,1936,1.0,1.0,3.0,5.0,173.0,173.0,0.0
216,BEL,0,0,3,3,1936,0.0,0.0,1.0,1.0,205.0,205.0,0.0
217,MEX,0,0,3,3,1936,0.0,2.0,0.0,2.0,32.0,32.0,0.0
218,AUS,0,0,1,1,1936,3.0,1.0,1.0,5.0,39.0,39.0,0.0
219,PHI,0,0,1,1,1936,0.0,0.0,3.0,3.0,40.0,40.0,0.0
220,POR,0,0,1,1,1936,0.0,0.0,1.0,1.0,26.0,26.0,0.0
221,USA,38,27,19,84,1948,24.0,21.0,12.0,57.0,424.0,424.0,0.0
222,SWE,16,11,17,44,1948,6.0,5.0,10.0,21.0,223.0,223.0,0.0
223,FRA,10,6,13,29,1948,7.0,6.0,6.0,19.0,433.0,433.0,0.0
224,HUN,10,5,12,27,1948,10.0,1.0,5.0,16.0,222.0,222.0,0.0
225,ITA,8,11,8,27,1948,9.0,13.0,5.0,27.0,310.0,310.0,0.0
226,FIN,8,7,5,20,1948,8.0,6.0,6.0,20.0,215.0,215.0,0.0
227,TUR,6,4,2,12,1948,1.0,0.0,1.0,2.0,87.0,87.0,0.0
228,TCH,6,2,3,11,1948,3.0,5.0,1.0,9.0,153.0,153.0,0.0
229,SUI,5,10,5,20,1948,4.0,9.0,5.0,18.0,287.0,287.0,0.0
230,DEN,5,7,8,20,1948,0.0,2.0,3.0,5.0,253.0,253.0,0.0
231,NED,5,2,9,16,1948,6.0,4.0,7.0,17.0,187.0,187.0,0.0
232,GBR,3,14,6,23,1948,4.0,7.0,3.0,14.0,590.0,590.0,0.0
233,ARG,3,3,1,7,1948,2.0,2.0,3.0,7.0,295.0,295.0,0.0
234,AUS,2,6,5,13,1948,0.0,0.0,1.0,1.0,103.0,103.0,0.0
235,BEL,2,2,3,7,1948,0.0,0.0,3.0,3.0,182.0,182.0,0.0
236,EGY,2,2,1,5,1948,2.0,1.0,2.0,5.0,166.0,166.0,0.0
237,MEX,2,1,2,5,1948,0.0,0.0,3.0,3.0,149.0,149.0,0.0
238,RSA,2,1,1,4,1948,0.0,1.0,0.0,1.0,43.0,43.0,0.0
239,NOR,1,3,3,7,1948,1.0,3.0,2.0,6.0,97.0,97.0,0.0
240,JAM,1,2,0,3,1948,nan,nan,nan,nan,26.0,26.0,0.0
241,AUT,1,0,3,4,1948,5.0,7.0,5.0,17.0,239.0,239.0,0.0
242,IND,1,0,0,1,1948,1.0,0.0,0.0,1.0,89.0,89.0,0.0
243,PER,1,0,0,1,1948,nan,nan,nan,nan,49.0,49.0,0.0
244,YUG,0,2,0,2,1948,0.0,1.0,0.0,1.0,162.0,162.0,0.0
245,CAN,0,1,2,3,1948,1.0,3.0,5.0,9.0,188.0,188.0,0.0
246,POR,0,1,1,2,1948,0.0,0.0,1.0,1.0,65.0,65.0,0.0
247,URU,0,1,1,2,1948,0.0,0.0,1.0,1.0,79.0,79.0,0.0
248,SRI,0,1,0,1,1948,nan,nan,nan,nan,10.0,10.0,0.0
249,CUB,0,1,0,1,1948,3.0,0.0,0.0,3.0,112.0,112.0,0.0
250,ESP,0,1,0,1,1948,0.0,0.0,1.0,1.0,84.0,84.0,0.0
251,TTO,0,1,0,1,1948,nan,nan,nan,nan,9.0,9.0,0.0
252,KOR,0,0,2,2,1948,nan,nan,nan,nan,48.0,48.0,0.0
253,PAN,0,0,2,2,1948,nan,nan,nan,nan,2.0,2.0,0.0
254,BRA,0,0,1,1,1948,1.0,1.0,1.0,3.0,105.0,105.0,0.0
255,IRI,0,0,1,1,1948,nan,nan,nan,nan,39.0,39.0,0.0
256,POL,0,0,1,1,1948,0.0,4.0,5.0,9.0,52.0,52.0,0.0
257,PUR,0,0,1,1,1948,nan,nan,nan,nan,9.0,9.0,0.0
258,USA,40,19,17,76,1952,38.0,27.0,19.0,84.0,451.0,451.0,0.0
259,URS,22,30,19,71,1952,nan,nan,nan,nan,451.0,451.0,0.0
260,HUN,16,10,16,42,1952,10.0,5.0,12.0,27.0,345.0,345.0,0.0
261,SWE,12,13,10,35,1952,16.0,11.0,17.0,44.0,355.0,355.0,0.0
262,ITA,8,9,4,21,1952,8.0,11.0,8.0,27.0,376.0,376.0,0.0
263,TCH,7,3,3,13,1952,6.0,2.0,3.0,11.0,218.0,218.0,0.0
264,FRA,6,6,6,18,1952,10.0,6.0,13.0,29.0,408.0,408.0,0.0
265,FIN,6,3,13,22,1952,8.0,7.0,5.0,20.0,412.0,412.0,0.0
266,AUS,6,2,3,11,1952,2.0,6.0,5.0,13.0,140.0,140.0,0.0
267,NOR,3,2,0,5,1952,1.0,3.0,3.0,7.0,190.0,190.0,0.0
268,SUI,2,6,6,14,1952,5.0,10.0,5.0,20.0,251.0,251.0,0.0
269,RSA,2,4,4,10,1952,2.0,1.0,1.0,4.0,109.0,109.0,0.0
270,JAM,2,3,0,5,1952,1.0,2.0,0.0,3.0,16.0,16.0,0.0
271,BEL,2,2,0,4,1952,2.0,2.0,3.0,7.0,184.0,184.0,0.0
272,DEN,2,1,3,6,1952,5.0,7.0,8.0,20.0,201.0,201.0,0.0
273,TUR,2,0,1,3,1952,6.0,4.0,2.0,12.0,58.0,58.0,0.0
274,JPN,1,6,2,9,1952,6.0,4.0,10.0,20.0,133.0,133.0,0.0
275,GBR,1,2,8,11,1952,3.0,14.0,6.0,23.0,401.0,401.0,0.0
276,ARG,1,2,2,5,1952,3.0,3.0,1.0,7.0,174.0,174.0,0.0
277,POL,1,2,1,4,1952,0.0,0.0,1.0,1.0,248.0,248.0,0.0
278,CAN,1,2,0,3,1952,0.0,1.0,2.0,3.0,154.0,154.0,0.0
279,YUG,1,2,0,3,1952,0.0,2.0,0.0,2.0,194.0,194.0,0.0
280,ROU,1,1,2,4,1952,0.0,1.0,0.0,1.0,241.0,241.0,0.0
281,BRA,1,0,2,3,1952,0.0,0.0,1.0,1.0,119.0,119.0,0.0
282,NZL,1,0,2,3,1952,1.0,0.0,0.0,1.0,20.0,20.0,0.0
283,IND,1,0,1,2,1952,1.0,0.0,0.0,1.0,94.0,94.0,0.0
284,LUX,1,0,0,1,1952,0.0,1.0,0.0,1.0,101.0,101.0,0.0
285,GER,0,7,17,24,1952,38.0,31.0,32.0,101.0,365.0,365.0,0.0
286,NED,0,5,0,5,1952,5.0,2.0,9.0,16.0,180.0,180.0,0.0
287,IRI,0,3,4,7,1952,0.0,0.0,1.0,1.0,23.0,23.0,0.0
288,CHI,0,2,0,2,1952,0.0,1.0,0.0,1.0,82.0,82.0,0.0
289,AUT,0,1,1,2,1952,1.0,0.0,3.0,4.0,238.0,238.0,0.0
290,LBN,0,1,1,2,1952,nan,nan,nan,nan,nan,nan,0.0
291,ESP,0,1,0,1,1952,0.0,1.0,0.0,1.0,42.0,42.0,0.0
292,IRL,0,1,0,1,1952,2.0,0.0,0.0,2.0,25.0,25.0,0.0
293,MEX,0,1,0,1,1952,2.0,1.0,2.0,5.0,85.0,85.0,0.0
294,KOR,0,0,2,2,1952,0.0,0.0,2.0,2.0,22.0,22.0,0.0
295,TTO,0,0,2,2,1952,0.0,1.0,0.0,1.0,2.0,2.0,0.0
296,URU,0,0,2,2,1952,0.0,1.0,1.0,2.0,42.0,42.0,0.0
297,BUL,0,0,1,1,1952,nan,nan,nan,nan,179.0,179.0,0.0
298,EGY,0,0,1,1,1952,2.0,2.0,1.0,5.0,196.0,196.0,0.0
299,POR,0,0,1,1,1952,0.0,1.0,1.0,2.0,155.0,155.0,0.0
300,VEN,0,0,1,1,1952,nan,nan,nan,nan,63.0,63.0,0.0
301,URS,37,29,32,98,1956,22.0,30.0,19.0,71.0,411.0,411.0,0.0
302,USA,32,25,17,74,1956,40.0,19.0,17.0,76.0,443.0,443.0,0.0
303,AUS,13,8,14,35,1956,6.0,2.0,3.0,11.0,412.0,412.0,0.0
304,HUN,9,10,7,26,1956,16.0,10.0,16.0,42.0,197.0,197.0,0.0
305,ITA,8,8,9,25,1956,8.0,9.0,4.0,21.0,207.0,207.0,0.0
306,SWE,8,5,6,19,1956,12.0,13.0,10.0,35.0,186.0,186.0,0.0
307,GER,6,13,7,26,1956,0.0,7.0,17.0,24.0,261.0,261.0,0.0
308,GBR,6,7,11,24,1956,1.0,2.0,8.0,11.0,283.0,283.0,0.0
309,ROU,5,3,5,13,1956,1.0,1.0,2.0,4.0,103.0,103.0,0.0
310,JPN,4,10,5,19,1956,1.0,6.0,2.0,9.0,222.0,222.0,0.0
311,FRA,4,4,6,14,1956,6.0,6.0,6.0,18.0,227.0,227.0,0.0
312,TUR,3,2,2,7,1956,2.0,0.0,1.0,3.0,28.0,28.0,0.0
313,FIN,3,1,11,15,1956,6.0,3.0,13.0,22.0,147.0,147.0,0.0
